start,finish
unidimensional,shell
evergreen,obscurity
misalliance,abet
aesthetic,oval
wanderlust,erratically
atheist,abstain
sporadic,adumbrate
gratuitous,speculate
notate,duplicity
collateral,groundless
assiduous,coloration
prohibit,steadiness
improvised,amateur
overpower,undermine
genre,innermost
inimitable,curt
suffragist,discomfit
beleaguer,committed
censure,heavenly
outlast,ragtime
chantey,narrative
infest,intransigent
gusher,hearken
agile,secure
traverse,muster
schematize,everlasting
shove,choice
lapse,knotty
inspired,sift
wage,philology
disproof,extort
stroke,orchard
warehouse,abortive
inculcate,recruit
dictator,specifics
crackpot,bovine
monopoly,cement
somnolent,recumbent
suspicion,abscond
jingoism,creep
infantry,overreach
stab,jostle
egotist,swine
